"","station_name","datetime","predicted"
"203","Embarcadero at Vallejo","2014-09-07",5.83214275148384
"204","Embarcadero at Vallejo","2014-09-08",5.97885110334701
"205","Embarcadero at Vallejo","2014-09-09",3.20852391544021
"206","Embarcadero at Vallejo","2014-09-10",8.02674001798242
"207","Embarcadero at Vallejo","2014-09-11",8.77658237386744
"208","Embarcadero at Vallejo","2014-09-12",7.46659353877515
"209","Embarcadero at Vallejo","2014-09-13",7.04211861043014
"210","Embarcadero at Vallejo","2014-09-14",6.38698655752287
"211","Broadway St at Battery St","2014-09-01",-2.18342371370424
"212","Broadway St at Battery St","2014-09-02",-1.93055641608315
"213","Broadway St at Battery St","2014-09-03",-2.53409444799172
"214","Broadway St at Battery St","2014-09-04",-4.0681234324306
"215","Broadway St at Battery St","2014-09-05",-5.40165778870037
"216","Broadway St at Battery St","2014-09-06",0.184989976169772
"217","Broadway St at Battery St","2014-09-07",-0.747746575204572
"218","Broadway St at Battery St","2014-09-08",-2.35504132840558
"219","Broadway St at Battery St","2014-09-09",-2.10217403078449
"220","Broadway St at Battery St","2014-09-10",-2.70571206269306
"221","Broadway St at Battery St","2014-09-11",-4.23974104713193
"222","Broadway St at Battery St","2014-09-12",-5.57327540340171
"223","Broadway St at Battery St","2014-09-13",0.0133723614684325
"224","Broadway St at Battery St","2014-09-14",-0.91936418990591
"225","Davis at Jackson","2014-09-01",2.00573609161441
"226","Davis at Jackson","2014-09-02",2.10025626004298
"227","Davis at Jackson","2014-09-03",1.87129231098691
"228","Davis at Jackson","2014-09-04",2.79691672060326
"229","Davis at Jackson","2014-09-05",0.99870708525596
"230","Davis at Jackson","2014-09-06",0.0129544500774175
"231","Davis at Jackson","2014-09-07",-1.1500827782112
"232","Davis at Jackson","2014-09-08",1.84464261814407
"233","Davis at Jackson","2014-09-09",1.93916278657265
"234","Davis at Jackson","2014-09-10",1.71019883751657
"235","Davis at Jackson","2014-09-11",2.63582324713293
"236","Davis at Jackson","2014-09-12",0.837613611785627
"237","Davis at Jackson","2014-09-13",-0.148139023392916
"238","Davis at Jackson","2014-09-14",-1.31117625168153
"239","Clay at Battery","2014-09-01",2.02533617166416
"240","Clay at Battery","2014-09-02",-0.150087076694998
"241","Clay at Battery","2014-09-03",0.336362888951038
"242","Clay at Battery","2014-09-04",1.86962649025876
"243","Clay at Battery","2014-09-05",0.676495252574935
"244","Clay at Battery","2014-09-06",2.61235748265269
"245","Clay at Battery","2014-09-07",1.51631769826672
"246","Clay at Battery","2014-09-08",2.98749671884064
"247","Clay at Battery","2014-09-09",0.812073470481485
"248","Clay at Battery","2014-09-10",1.29852343612752
"249","Clay at Battery","2014-09-11",2.83178703743524
"250","Clay at Battery","2014-09-12",1.63865579975142
"251","Clay at Battery","2014-09-13",3.57451802982918
"252","Clay at Battery","2014-09-14",2.4784782454432
"253","Harry Bridges Plaza (Ferry Building)","2014-09-01",-4.19227700237713
"254","Harry Bridges Plaza (Ferry Building)","2014-09-02",-8.2286361783423
"255","Harry Bridges Plaza (Ferry Building)","2014-09-03",-7.87687913486447
"256","Harry Bridges Plaza (Ferry Building)","2014-09-04",-5.93819575006841
"257","Harry Bridges Plaza (Ferry Building)","2014-09-05",-6.33415537256931
"258","Harry Bridges Plaza (Ferry Building)","2014-09-06",0.293125506771918
"259","Harry Bridges Plaza (Ferry Building)","2014-09-07",-4.83539142662201
"260","Harry Bridges Plaza (Ferry Building)","2014-09-08",-2.50330966692361
"261","Harry Bridges Plaza (Ferry Building)","2014-09-09",-6.53966884288877
"262","Harry Bridges Plaza (Ferry Building)","2014-09-10",-6.18791179941094
"263","Harry Bridges Plaza (Ferry Building)","2014-09-11",-4.24922841461488
"264","Harry Bridges Plaza (Ferry Building)","2014-09-12",-4.64518803711579
"265","Harry Bridges Plaza (Ferry Building)","2014-09-13",1.98209284222545
"266","Harry Bridges Plaza (Ferry Building)","2014-09-14",-3.14642409116848
"267","Steuart at Market","2014-09-01",2.83706292927701
"268","Steuart at Market","2014-09-02",1.16878587937929
"269","Steuart at Market","2014-09-03",0.333234209769238
"270","Steuart at Market","2014-09-04",3.64011344977473
"271","Steuart at Market","2014-09-05",0.296917930117565
"272","Steuart at Market","2014-09-06",6.0081157217925
"273","Steuart at Market","2014-09-07",3.19144343511714
"274","Steuart at Market","2014-09-08",3.03944388165797
"275","Steuart at Market","2014-09-09",1.37116683176024
"276","Steuart at Market","2014-09-10",0.53561516215019
"277","Steuart at Market","2014-09-11",3.84249440215568
"278","Steuart at Market","2014-09-12",0.499298882498517
"279","Steuart at Market","2014-09-13",6.21049667417345
"280","Steuart at Market","2014-09-14",3.39382438749809
